[s],CH2[V]
-4.39000E-06,4.985365564E-02
-4.38000E-06,5.061835657E-02
-4.37000E-06,5.162724677E-02
-4.36000E-06,5.081756293E-02
-4.35000E-06,5.173292628E-02
-4.34000E-06,5.281654450E-02
-4.33000E-06,5.105078304E-02
-4.32000E-06,4.969871026E-02
-4.31000E-06,4.985787946E-02
-4.30000E-06,4.961225300E-02
-4.29000E-06,5.024257167E-02
-4.28000E-06,5.127284707E-02
-4.27000E-06,5.191680138E-02
-4.26000E-06,5.129796780E-02
-4.25000E-06,5.080802332E-02
-4.24000E-06,5.142036142E-02
-4.23000E-06,5.138898076E-02
-4.22000E-06,5.260829444E-02
-4.21000E-06,5.134652413E-02
-4.20000E-06,5.120063389E-02
-4.19000E-06,5.169776049E-02
-4.18000E-06,5.021726020E-02
-4.17000E-06,4.812069963E-02
-4.16000E-06,4.820939039E-02
-4.15000E-06,4.795131180E-02
-4.14000E-06,4.809104894E-02
-4.13000E-06,4.834911322E-02
-4.12000E-06,4.844661689E-02
-4.11000E-06,4.809013055E-02
-4.10000E-06,4.759889861E-02
-4.09000E-06,4.863553215E-02
-4.08000E-06,4.921994666E-02
-4.07000E-06,5.048768411E-02
-4.06000E-06,4.935470275E-02
-4.05000E-06,4.892589643E-02
-4.04000E-06,4.978398401E-02
-4.03000E-06,4.878634621E-02
-4.02000E-06,4.713597267E-02
-4.01000E-06,4.733688993E-02
-4.00000E-06,4.777197620E-02
-3.99000E-06,4.789948341E-02
-3.98000E-06,4.889028813E-02
-3.97000E-06,4.939255027E-02
-3.96000E-06,4.908784273E-02
-3.95000E-06,4.888948705E-02
-3.94000E-06,4.990911085E-02
-3.93000E-06,5.052078137E-02
-3.92000E-06,5.139407243E-02
-3.91000E-06,5.021876319E-02
-3.90000E-06,4.917075613E-02
-3.89000E-06,5.011663707E-02
-3.88000E-06,4.923084048E-02
-3.87000E-06,4.744712896E-02
-3.86000E-06,4.676915041E-02
-3.85000E-06,4.709621971E-02
-3.84000E-06,4.724630421E-02
-3.83000E-06,4.800587437E-02
-3.82000E-06,4.860638786E-02
-3.81000E-06,4.844916987E-02
-3.80000E-06,4.844627452E-02
-3.79000E-06,4.949843292E-02
-3.78000E-06,5.043124947E-02
-3.77000E-06,5.131360520E-02
-3.76000E-06,5.144232263E-02
-3.75000E-06,5.014904102E-02
-3.74000E-06,5.073770128E-02
-3.73000E-06,5.048094163E-02
-3.72000E-06,4.852336955E-02
-3.71000E-06,4.776362869E-02
-3.70000E-06,4.803464482E-02
-3.69000E-06,4.785231945E-02
-3.68000E-06,4.830558275E-02
-3.67000E-06,4.904977205E-02
-3.66000E-06,4.906879785E-02
-3.65000E-06,4.919094828E-02
-3.64000E-06,5.009471686E-02
-3.63000E-06,5.069888578E-02
-3.62000E-06,5.157396307E-02
-3.61000E-06,5.181727210E-02
-3.60000E-06,5.013781150E-02
-3.59000E-06,5.060101209E-02
-3.58000E-06,5.063058172E-02
-3.57000E-06,4.911853197E-02
-3.56000E-06,4.799346135E-02
-3.55000E-06,4.807498906E-02
-3.54000E-06,4.807806657E-02
-3.53000E-06,4.867653728E-02
-3.52000E-06,4.877025009E-02
-3.51000E-06,4.867511822E-02
-3.50000E-06,4.846642566E-02
-3.49000E-06,4.838916945E-02
-3.48000E-06,4.894177320E-02
-3.47000E-06,4.953733044E-02
-3.46000E-06,5.040845093E-02
-3.45000E-06,4.908519152E-02
-3.44000E-06,4.975775033E-02
-3.43000E-06,5.035844502E-02
-3.42000E-06,4.876082970E-02
-3.41000E-06,4.744010324E-02
-3.40000E-06,4.794673893E-02
