[s],CH2[V]
-5.19000E-06,2.562474322E-03
-5.18000E-06,2.499974319E-03
-5.17000E-06,2.559544635E-03
-5.16000E-06,2.548802447E-03
-5.15000E-06,2.566380572E-03
-5.14000E-06,2.465794630E-03
-5.13000E-06,2.473607130E-03
-5.12000E-06,2.520482133E-03
-5.11000E-06,2.468724318E-03
-5.10000E-06,2.558568072E-03
-5.09000E-06,2.460911817E-03
-5.08000E-06,2.608372762E-03
-5.07000E-06,2.576146198E-03
-5.06000E-06,2.569310260E-03
-5.05000E-06,2.567357135E-03
-5.04000E-06,2.638646201E-03
-5.03000E-06,2.574193073E-03
-5.02000E-06,2.638646201E-03
-5.01000E-06,2.566380572E-03
-5.00000E-06,2.573216510E-03
-4.99000E-06,2.476536818E-03
-4.98000E-06,2.553685259E-03
-4.97000E-06,2.590794636E-03
-4.96000E-06,2.536107133E-03
-4.95000E-06,2.573216510E-03
-4.94000E-06,2.540989946E-03
-4.93000E-06,2.590794636E-03
-4.92000E-06,2.556614947E-03
-4.91000E-06,2.577122760E-03
-4.90000E-06,2.538060259E-03
-4.89000E-06,2.569310260E-03
-4.88000E-06,2.505833695E-03
-4.87000E-06,2.579075886E-03
-4.86000E-06,2.590794636E-03
-4.85000E-06,2.577122760E-03
-4.84000E-06,2.584935261E-03
-4.83000E-06,2.559544635E-03
-4.82000E-06,2.616185262E-03
-4.81000E-06,2.576146198E-03
-4.80000E-06,2.556614947E-03
-4.79000E-06,2.666966515E-03
-4.78000E-06,2.581029011E-03
-4.77000E-06,2.594700886E-03
-4.76000E-06,2.556614947E-03
-4.75000E-06,2.570286823E-03
-4.74000E-06,2.585911823E-03
-4.73000E-06,2.599583699E-03
-4.72000E-06,2.562474322E-03
-4.71000E-06,2.591771199E-03
-4.70000E-06,2.604466512E-03
-4.69000E-06,2.574193073E-03
-4.68000E-06,2.554661822E-03
-4.67000E-06,2.580052448E-03
-4.66000E-06,2.588841511E-03
-4.65000E-06,2.592747761E-03
-4.64000E-06,2.577122760E-03
-4.63000E-06,2.581029011E-03
-4.62000E-06,2.695286829E-03
-4.61000E-06,2.564427447E-03
-4.60000E-06,2.534154008E-03
-4.59000E-06,2.576146198E-03
-4.58000E-06,2.568333697E-03
-4.57000E-06,2.561497760E-03
-4.56000E-06,2.539036821E-03
-4.55000E-06,2.574193073E-03
-4.54000E-06,2.609349324E-03
-4.53000E-06,2.578099323E-03
-4.52000E-06,2.547825884E-03
-4.51000E-06,2.524388383E-03
-4.50000E-06,2.580052448E-03
-4.49000E-06,2.583958698E-03
-4.48000E-06,2.526341508E-03
-4.47000E-06,2.569310260E-03
-4.46000E-06,2.570286823E-03
-4.45000E-06,2.458958692E-03
-4.44000E-06,2.572239948E-03
-4.43000E-06,2.566380572E-03
-4.42000E-06,2.568333697E-03
-4.41000E-06,2.549779009E-03
-4.40000E-06,2.583958698E-03
-4.39000E-06,2.568333697E-03
-4.38000E-06,2.579075886E-03
-4.37000E-06,2.620091512E-03
-4.36000E-06,2.571263385E-03
-4.35000E-06,2.559544635E-03
-4.34000E-06,2.565404010E-03
-4.33000E-06,2.576146198E-03
-4.32000E-06,2.595677449E-03
-4.31000E-06,2.525364945E-03
-4.30000E-06,2.600560262E-03
-4.29000E-06,2.639622763E-03
-4.28000E-06,2.599583699E-03
-4.27000E-06,2.521458695E-03
-4.26000E-06,2.543919634E-03
-4.25000E-06,2.540013384E-03
-4.24000E-06,2.590794636E-03
-4.23000E-06,2.564427447E-03
-4.22000E-06,2.566380572E-03
-4.21000E-06,2.542943071E-03
-4.20000E-06,2.549779009E-03
-4.19000E-06,2.557591509E-03
-4.18000E-06,2.569310260E-03
-4.17000E-06,2.567357135E-03
-4.16000E-06,2.532200883E-03
-4.15000E-06,2.698216516E-03
-4.14000E-06,2.551732134E-03
-4.13000E-06,2.534154008E-03
-4.12000E-06,2.528294633E-03
-4.11000E-06,2.568333697E-03
-4.10000E-06,2.560521197E-03
-4.09000E-06,2.545872759E-03
-4.08000E-06,2.567357135E-03
-4.07000E-06,2.524388383E-03
-4.06000E-06,2.554661822E-03
-4.05000E-06,2.556614947E-03
-4.04000E-06,2.555638384E-03
-4.03000E-06,2.486302444E-03
-4.02000E-06,2.565404010E-03
-4.01000E-06,2.576146198E-03
-4.00000E-06,2.531224321E-03
-3.99000E-06,2.552708697E-03
-3.98000E-06,2.549779009E-03
-3.97000E-06,2.529271196E-03
-3.96000E-06,2.529271196E-03
-3.95000E-06,2.560521197E-03
-3.94000E-06,2.556614947E-03
-3.93000E-06,2.560521197E-03
-3.92000E-06,2.588841511E-03
-3.91000E-06,2.520482133E-03
-3.90000E-06,2.555638384E-03
-3.89000E-06,2.572239948E-03
-3.88000E-06,2.557591509E-03
-3.87000E-06,2.551732134E-03
-3.86000E-06,2.488255569E-03
-3.85000E-06,2.517552445E-03
-3.84000E-06,2.555638384E-03
-3.83000E-06,2.544896196E-03
-3.82000E-06,2.564427447E-03
-3.81000E-06,2.500950882E-03
-3.80000E-06,2.548802447E-03
-3.79000E-06,2.562474322E-03
-3.78000E-06,2.536107133E-03
-3.77000E-06,2.480443068E-03
-3.76000E-06,2.535130571E-03
-3.75000E-06,2.389622752E-03
-3.74000E-06,2.472630568E-03
-3.73000E-06,2.455052442E-03
-3.72000E-06,2.465794630E-03
-3.71000E-06,2.489232131E-03
-3.70000E-06,2.424779003E-03
-3.69000E-06,2.365208688E-03
-3.68000E-06,2.411107128E-03
-3.67000E-06,2.420872753E-03
-3.66000E-06,2.499974319E-03
-3.65000E-06,2.483372756E-03
-3.64000E-06,2.517552445E-03
-3.63000E-06,2.579075886E-03
-3.62000E-06,2.541966509E-03
-3.61000E-06,2.527318071E-03
-3.60000E-06,2.547825884E-03
-3.59000E-06,2.558568072E-03
-3.58000E-06,2.523411820E-03
-3.57000E-06,2.519505570E-03
-3.56000E-06,2.582982136E-03
-3.55000E-06,2.579075886E-03
-3.54000E-06,2.490208694E-03
-3.53000E-06,2.570286823E-03
-3.52000E-06,2.581029011E-03
-3.51000E-06,2.572239948E-03
-3.50000E-06,2.574193073E-03
-3.49000E-06,2.598607136E-03
-3.48000E-06,2.589818074E-03
-3.47000E-06,2.564427447E-03
-3.46000E-06,2.613255575E-03
-3.45000E-06,2.574193073E-03
-3.44000E-06,2.586888386E-03
-3.43000E-06,2.564427447E-03
-3.42000E-06,2.591771199E-03
-3.41000E-06,2.623021200E-03
-3.40000E-06,2.567357135E-03
-3.39000E-06,2.581029011E-03
-3.38000E-06,2.581029011E-03
-3.37000E-06,2.565404010E-03
-3.36000E-06,2.560521197E-03
-3.35000E-06,2.556614947E-03
-3.34000E-06,2.516575883E-03
-3.33000E-06,2.543919634E-03
-3.32000E-06,2.502904007E-03
-3.31000E-06,2.517552445E-03
-3.30000E-06,2.479466506E-03
-3.29000E-06,2.508763382E-03
-3.28000E-06,2.508763382E-03
-3.27000E-06,2.532200883E-03
-3.26000E-06,2.559544635E-03
-3.25000E-06,2.439427441E-03
-3.24000E-06,2.394505564E-03
-3.23000E-06,2.447239942E-03
-3.22000E-06,2.454075880E-03
-3.21000E-06,2.501927444E-03
-3.20000E-06,2.543919634E-03
-3.19000E-06,2.491185256E-03
-3.18000E-06,2.536107133E-03
-3.17000E-06,2.424779003E-03
-3.16000E-06,2.457982130E-03
-3.15000E-06,2.492161819E-03
-3.14000E-06,2.494114944E-03
-3.13000E-06,2.501927444E-03
-3.12000E-06,2.509739945E-03
-3.11000E-06,2.457005567E-03
-3.10000E-06,2.512669632E-03
-3.09000E-06,2.443333692E-03
-3.08000E-06,2.501927444E-03
-3.07000E-06,2.534154008E-03
-3.06000E-06,2.551732134E-03
-3.05000E-06,2.562474322E-03
-3.04000E-06,2.569310260E-03
-3.03000E-06,2.544896196E-03
-3.02000E-06,2.556614947E-03
-3.01000E-06,2.578099323E-03
-3.00000E-06,2.525364945E-03
-2.99000E-06,2.570286823E-03
-2.98000E-06,2.551732134E-03
-2.97000E-06,2.512669632E-03
-2.96000E-06,2.581029011E-03
